query_id,topic,turn,raw,human,rewriter_1_rewrite,rewriter_2_rewrite,r1_delta_R@100,r1_delta_RR@10,r1_delta_nDCG@10,r1_classification,r2_delta_R@100,r2_delta_RR@10,r2_delta_nDCG@10,r2_classification
82_6,82,6,What is the role of Co-Extra?,What is the role of Co-Extra in GMO food traceability in the EU?,What is the role of Co-Extra in GMO food labeling traceability tools?,What is the role of Co-Extra in GMO food traceability tools? Co-Extra traceability system,0.4,1.0,0.5110577499506974,improved,0.7,1.0,0.6594059320995596,improved
82_7,82,7,How is testing done for contamination?,How is food tested for GMO contamination?,How is testing for GMO food contamination done?,How is testing done for GMO food contamination? genetically modified organisms adulteration,0.5675675675675675,1.0,0.2803970376171716,improved,0.16216216216216217,0.2,0.025498630796755375,improved
82_8,82,8,What's the difference between the European and US approaches?,What's the difference between the European Union and United States approaches to testing for GMO food contamination?,What is the difference between the European and US approaches to GMO food labeling?,difference between European and US approaches to GMO food labeling EU USA,0.3181818181818182,0.3333333333333333,0.18452691691245948,improved,0.5454545454545455,1.0,0.4699691805553618,improved
82_9,82,9,How does the DNA-based method work?,How does the DNA-based method work for testing GMO contamination.,How does the DNA-based method for testing GMO food contamination work?,How does the DNA-based method work for GMO contamination testing? PCR genomic analysis,0.52,0.5,0.5220080195231894,improved,0.39999999999999997,1.0,0.5483533890617801,improved
82_10,82,10,How could Co-Extra improve it?,How could Co-Extra improve DNA-based testing for GMO contamination?,How could Co-Extra improve DNA-based testing for GMO contamination?,How could Co-Extra improve DNA-based testing for GMO contamination? Co-Extra DNA analysis detection,0.2857142857142857,1.0,0.614277588629781,improved,0.2857142857142857,1.0,0.6336884070306766,improved
83_1,83,1,What are some interesting facts about bees?,What are some interesting facts about bees?,interesting facts about bees,What are some interesting facts about bees? honeybees pollinators,0.11290322580645162,-0.5,0.1800414070611535,improved,-0.03225806451612903,-1.0,-0.27235727895053036,degraded
83_2,83,2,Why doesn't it spoil?,Why doesn't honey spoil?,Why doesn't honey spoil?,Why doesn't honey spoil? honey preservation shelf life,0.5384615384615384,1.0,0.42257139163237256,improved,0.4615384615384615,1.0,0.2958602451307168,improved
83_3,83,3,Why are so many dying?,Why are so many bees dying?,Why are so many bees dying?,Why are so many bees dying? bee colony collapse disorder population decline,0.4791666666666667,1.0,0.3945771717271853,improved,0.25,0.5,0.23421696718792667,improved
83_4,83,4,What can be done to stop it?,What can be done to stop bees from dying?,What can be done to stop bees from dying?,What can be done to stop bee population decline? honeybee extinction colony collapse disorder,0.17647058823529413,1.0,0.28202783163801337,improved,0.1568627450980392,0.25,0.11146492361092944,improved
83_5,83,5,What has happened to their habitat?,What has happened to bee habitat?,What has happened to the habitat of bees?,What has happened to bee habitats? pollinators environment,0.4444444444444445,-0.16666666666666669,-0.009129360264819607,degraded,0.24444444444444444,-0.16666666666666669,0.10464090429009393,improved
83_6,83,6,What can I do to help with the problem?,What can I do to help provide a habitat for bees?,What can I do to help stop the decline of bee populations and the loss of their habitat?,What can I do to help with the problem of bees dying? bee conservation save the bees,0.14814814814814814,0.1,0.06814824486916873,improved,0.37037037037037035,1.0,0.10657717700403216,improved
83_7,83,7,What is the cause of CCD?,What is the cause of colony collapse disorder?,What is the cause of Colony Collapse Disorder (CCD) in bees?,What is the cause of CCD in bees? Colony Collapse Disorder,0.24615384615384617,0.0,0.09019779782095394,improved,0.24615384615384617,0.0,0.09019779782095394,improved
83_8,83,8,What would happen if they died out?,What would happen if the bees died out?,What would happen if bees died out?,What would happen if bees died out? pollinators honeybees,0.09803921568627451,1.0,0.25883173298525,improved,0.17647058823529413,1.0,0.3685946239440412,improved
84_1,84,1,How does seed investment work for startups?,How does seed investment work for startups?,How does seed investment work for startups?,How does seed investment work for startups? seed funding venture capital early-stage financing,0.0,0.0,0.0,tied,-0.08333333333333337,0.0,-0.07604729078453612,degraded
84_2,84,2,Tell me more about angel rounds.,Tell me more about angel investment rounds.,How do angel investment rounds work for startups?,How do angel rounds work for startups? angel investment seed funding,0.3548387096774194,0.25,0.028387185879907156,improved,0.3548387096774194,0.25,0.09569860959067736,improved
84_3,84,3,How does it compare with crowdfunding?,How does an angel investment round compare with crowdfunding?,How does angel investment compare with crowdfunding for startups?,How do angel rounds compare with crowdfunding? angel investment equity crowdfunding,0.4736842105263158,0.3333333333333333,0.13462342003341518,improved,0.5789473684210527,0.3333333333333333,0.27673858807541724,improved
84_4,84,4,How much is a typical A series round?,How much is a typical A series investment round?,What is a typical Series A investment round amount for startups?,How much is a typical Series A round? Series A funding investment amount,0.3333333333333333,1.0,0.41462447817783304,improved,0.3333333333333333,0.25,0.1785690431546058,improved
84_5,84,5,What are the risks of investing?,What are the risks of investing in startups?,"What are the risks of investing in startup seed, angel, crowdfunding, and Series A rounds?",What are the risks of investing in startup seed and Series A rounds? venture capital early-stage investment,0.1111111111111111,0.0,0.0,tied,0.1111111111111111,0.0,0.0,tied
84_6,84,6,What are the different types of instruments used by VCs?,What are the different types of instruments used by Venture Capitalists?,What are the different types of instruments used by venture capitalists?,What are the different types of instruments used by VCs? venture capital investment vehicles financial instruments,0.34615384615384615,0.3333333333333333,0.0867282071791262,improved,0.0,0.0,0.0,tied
85_1,85,1,How much does a used Lamborghini cost?,How much does a Lamborghini cost?,used Lamborghini cost,How much does a used Lamborghini cost? pre-owned price valuation,0.18604651162790692,0.6666666666666667,0.34061322964679464,improved,-0.06976744186046513,0.6666666666666667,0.21933606461788568,improved
85_2,85,2,How does it compare to a Ferrari?,How does a Lamborghini compare to a Ferrari?,How does the cost of a used Lamborghini compare to a used Ferrari?,used Lamborghini cost compared to Ferrari price value,0.48780487804878053,0.0,0.3346997370422653,improved,0.4146341463414634,0.0,0.503003354409472,improved
85_3,85,3,Interesting. What about for a pimped-out food truck?,Interesting. How much does a pimped-out food truck cost?,How much does a pimped-out food truck cost?,How much does a pimped-out food truck cost? customized modified luxury,-0.13157894736842105,0.0,-0.3122587178025538,degraded,-0.13157894736842105,-0.5,-0.23436062594164642,degraded
85_4,85,4,What licenses and permits are needed?,What licenses and permits are needed for a food truck?,What licenses and permits are needed for a pimped-out food truck?,What licenses and permits are needed for a pimped-out food truck? certifications regulations,0.34883720930232553,0.8333333333333334,0.5182435656442177,improved,0.2790697674418605,0.08333333333333334,0.21163290935693668,improved
85_5,85,5,What makes a good location?,What makes a good food truck location?,What makes a good location for a food truck?,What makes a good location for a food truck? site placement venue,0.5,0.5,0.12739953556188416,improved,0.375,0.3333333333333333,0.14068290668755817,improved
85_6,85,6,What is a typical day like?,What is a typical day like running a food truck?,What is a typical day like for a food truck owner?,typical day food truck owner operator business daily routine,0.27586206896551724,0.25,0.05931075090439413,improved,0.2413793103448276,0.0,0.0,tied
85_7,85,7,How can I run it successfully?,How can I run a successful food truck?,How can I run a pimped-out food truck successfully?,How can I run a food truck successfully? business management operations,0.2894736842105263,0.0,0.0,tied,0.42105263157894735,0.5,0.2514103975791335,improved
85_8,85,8,What are some good examples to learn from?,What are some good examples of successful food trucks to learn from?,What are some good examples of successfully run food trucks to learn from?,good examples of successful food trucks successful food truck case studies examples,0.23333333333333334,0.25,0.053195281086344456,improved,0.6333333333333333,1.0,0.3852334365702614,improved
85_9,85,9,"Besides inventive flavors, what made it successful?","Besides inventive flavors, what made Kogi successful?",What made the successful food truck examples successful besides inventive flavors?,What made successful food truck examples successful besides inventive flavors? food trucks successful business models,0.1875,0.25,0.17669996156829232,improved,0.25,0.14285714285714285,0.07709322595415839,improved
86_1,86,1,What is the climate like in Utah?,What is the climate like in Utah?,What is the climate like in Utah?,What is the climate like in Utah? weather environment,0.0,0.0,0.0,tied,-0.10256410256410257,0.20833333333333331,0.012867110609938677,improved
86_2,86,2,How does Salt Lake City differ?,How does the climate of Salt Lake City differ from Utah overall?,How does the climate in Salt Lake City differ from the climate in Utah?,How does the climate in Salt Lake City differ from Utah? weather SLC,0.6666666666666666,0.0,0.0,tied,0.0,0.0,0.0,tied
86_3,86,3,What is its main economic activity?,What is the main economic activity of Salt Lake City?,What is the main economic activity of Salt Lake City?,What is the main economic activity of Salt Lake City? economy industry,0.16666666666666666,0.0,0.0,tied,0.08333333333333333,0.25,0.03524921026051872,improved
86_4,86,4,What was the impact of the 2002 games?,What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?,What was the impact of the 2002 Olympic games on Salt Lake City?,What was the impact of the 2002 Olympic games in Salt Lake City? 2002 Winter Olympics,0.14285714285714285,0.125,0.07303845040856738,improved,0.09523809523809523,0.125,0.05844725866398135,improved
86_5,86,5,What were important ski locations used?,What were important ski locations used in the 2002 olympic winter games?,"What were the important ski locations used in the 2002 games in Salt Lake City, Utah?",important ski locations used 2002 Winter Olympics Salt Lake City venues resorts,0.16666666666666669,1.0,0.1534262639864362,improved,0.41666666666666663,0.5,0.266265060737587,improved
86_6,86,6,What are the important non-ski events that happen in the city?,What are the important non-ski events that happen in Salt Lake City?,What are the important non-ski events that happen in Salt Lake City?,What are the important non-ski events that happen in Salt Lake City? festivals competitions tournaments,0.125,0.0,0.0,tied,0.1875,0.0,0.0,tied
86_7,86,7,What about some popular non-winter things to do in the area?,What are some popular non-winter things to do in the Salt Lake City area?,"What are some popular non-winter things to do in Salt Lake City, Utah?",popular non-winter activities Salt Lake City Utah attractions summer autumn spring,0.17391304347826086,0.2,0.0827627491234669,improved,0.30434782608695654,0.5,0.22393765728778617,improved
87_1,87,1,What are the different types of orange trees?,What are the different types of orange trees?,different types of orange trees,What are the different types of orange trees? citrus varieties cultivars,0.03921568627450983,0.0,-0.02722983958060954,degraded,-0.039215686274509776,0.0,-0.05735099871082244,degraded
87_2,87,2,How can you tell them apart?,How can you tell different types of orange trees apart?,How can you tell the different types of orange trees apart?,How to tell different types of orange trees apart distinguish identify characteristics,0.11764705882352941,0.0,0.0,tied,0.058823529411764705,0.0,0.0,tied
87_3,87,3,What type has thorns?,What type of orange tree has thorns?,Which type of orange tree has thorns?,What type of orange tree has thorns? citrus thorns spines,0.625,0.8571428571428572,0.4375382510345377,improved,0.625,0.8571428571428572,0.30406576074333513,improved
87_4,87,4,Where do they originally come from?,Where do orange trees originally come from?,Where do the different types of orange trees originally come from?,Where do orange trees originally come from? citrus origin provenance,0.09090909090909091,1.0,0.22009176629808014,improved,0.22727272727272727,0.3333333333333333,0.10611318298645728,improved
87_5,87,5,Tell me about the Hamlin variety.,Tell me about the Hamlin orange variety.,Hamlin orange tree variety details,Hamlin orange tree variety Hamlin orange citrus sinensis,0.7272727272727273,1.0,0.6429668328178326,improved,0.7272727272727273,0.3333333333333333,0.24162180135044053,improved
87_7,87,7,What are the different types of navels?,What are the different types of navel oranges?,What are the different types of navel orange trees?,What are the different types of navel orange trees? navel oranges navel variety,0.4000000000000001,0.5,0.3120687383234583,improved,0.5,0.5,0.5478430803205024,improved
87_8,87,8,Which is the most delicious?,Which type of navel orange is the most delicious?,Which type of navel orange is the most delicious?,Which type of navel orange is the most delicious? navel orange varieties taste flavor,0.8095238095238095,0.2,0.10759123399177065,improved,0.8095238095238095,1.0,0.1883317494956862,improved
87_9,87,9,How do they compare with blood oranges?,How do cara cara oranges compare with blood oranges?,How do navel oranges compare with blood oranges?,How do navel oranges compare with blood oranges? navels blood-orange,0.44999999999999996,0.0,0.10515055545871071,improved,0.44999999999999996,0.0,0.159978950913578,improved
88_1,88,1,Can I have some information on the labor systems of the Ottoman Empire?,Can I have some information on the labor systems of the Ottoman Empire?,labor systems of the Ottoman Empire,labor systems of the Ottoman Empire workforce employment,0.16666666666666663,0.5,0.1196531680234301,improved,-0.1,-0.5,-0.07804731934138323,degraded
88_2,88,2,What was the role of slavery?,What was the role of slavery in the labor system of the Ottoman Empire?,What was the role of slavery in the labor systems of the Ottoman Empire?,What was the role of slavery in the labor systems of the Ottoman Empire? servitude bondage,0.4634146341463415,1.0,0.5516356091323702,improved,0.0975609756097561,0.0,0.0,tied
88_3,88,3,How did it govern?,How did the Ottoman Empire govern?,How did the Ottoman Empire govern its labor systems and slavery?,How did the Ottoman Empire govern slavery? administration regulation,0.22857142857142856,1.0,0.2990404627739888,improved,0.22857142857142856,1.0,0.2893517618519279,improved
88_4,88,4,Why was it important?,Why was the Ottoman Empire important?,Why was slavery important to the labor systems and governance of the Ottoman Empire?,Why was slavery important in the Ottoman Empire labor systems? servitude bondage,0.13157894736842105,0.0,0.0,tied,0.0,0.0,0.0,tied
88_5,88,5,What was the culture like?,What was the culture like in the Ottoman Empire?,What was the culture of the labor systems and slavery in the Ottoman Empire?,culture of the Ottoman Empire Ottoman society,0.35135135135135137,1.0,0.6158651992371266,improved,0.3783783783783784,1.0,0.559707049217593,improved
88_6,88,6,What was the role of storytellers?,What was the role of storytellers in the culture of the Ottoman Empire?,What was the role of storytellers in the culture of the Ottoman Empire?,What was the role of storytellers in the Ottoman Empire? meddah oral tradition,0.0,0.0,0.0,tied,0.3571428571428571,1.0,0.6677864683029274,improved
88_7,88,7,What were popular stories?,What were popular stories told by meddahs in the Ottoman Empire?,What were popular stories told by storytellers in the Ottoman Empire?,What were popular stories told by storytellers in the Ottoman Empire? folklore tales narratives,0.0967741935483871,0.2,0.042133673397554756,improved,0.06451612903225806,0.1,0.06296639318641241,improved
88_8,88,8,What was the importance of the millet?,What was the importance of the confessional millet system to the Ottoman Empire?,What was the importance of the millet system in the Ottoman Empire?,What was the importance of the millet system in the Ottoman Empire? millet system administrative autonomy,0.6666666666666666,1.0,0.3958023034871953,improved,0.6274509803921569,0.5,0.3044384780419739,improved
88_9,88,9,Why did the British continue it?,Why did the British continue the confessional millet system from the Ottoman Empire?,Why did the British continue the millet system in the Ottoman Empire?,Why did the British continue the millet system? millet system Ottoman administrative division,0.5555555555555556,0.0,0.0,tied,0.7777777777777778,0.0,0.0,tied
88_10,88,10,What is its historical importance in developing national identities?,What is the historical importance of the confessional millet system in the development of national identities?,What is the historical importance of the millet system in developing national identities?,historical importance of the millet system in developing national identities millet system millets,0.26229508196721313,1.0,0.4305446880299205,improved,0.26229508196721313,1.0,0.27547201582192754,improved
89_1,89,1,What is the relationship between predator and prey?,What is the relationship between predator and prey?,relationship between predator and prey,What is the relationship between predator and prey? predation trophic interaction,-0.010752688172043001,0.0,0.0,tied,-0.10752688172043012,0.0,-0.49815074275405935,degraded
89_2,89,2,What do predator plants eat?,What do predator plants eat?,What do predator plants eat?,What do predator plants eat? carnivorous plants insectivorous,0.0,0.0,0.0,tied,0.16666666666666666,0.16666666666666666,0.07839826897867533,improved
89_3,89,3,What about Venus flytraps in particular?,What do Venus flytraps eat?,What do Venus flytraps eat?,What do Venus flytraps eat? Dionaea muscipula carnivorous plants,0.05128205128205132,1.0,0.3642251979863709,improved,0.02564102564102566,0.0,0.0,tied
89_4,89,4,Where is it native to?,Where is the Venus flytrap native to?,Where are Venus flytraps native to?,Where is the Venus flytrap native to? Dionaea muscipula origin habitat,0.9285714285714286,1.0,0.7364467516797273,improved,0.8928571428571429,1.0,0.866947989864271,improved
89_5,89,5,How do they attract and catch their prey?,How do Venus flytraps attract and catch their prey?,How do Venus flytraps attract and catch their prey?,How do Venus flytraps attract and catch their prey? Dionaea muscipula snap trap,0.7428571428571429,1.0,0.5182157281219724,improved,0.6857142857142857,1.0,0.4040063352494174,improved
89_6,89,6,What are other similar plants from its native area?,What other carnivorous plants are native to North and South Carolina?,What are other plants similar to the Venus flytrap from its native area?,What are other similar carnivorous plants from the native area of Venus flytraps? Dionaea muscipula carnivorous plants,0.125,0.0,0.0,tied,0.0,0.0,0.0,tied
89_7,89,7,How do populations of predators and prey relate?,How do populations of predators and prey relate?,How do populations of predators and prey relate?,How do populations of predators and prey relate? predator prey population dynamics,0.0,0.0,0.0,tied,0.046875,0.0,0.1369445296773687,improved
89_8,89,8,Why would the roles reverse?,Why would the roles of predator and prey reverse?,Why would the roles of predator and prey reverse?,Why would the roles of predator and prey reverse? predator-prey dynamics inversion,0.6923076923076923,1.0,0.6392116605762771,improved,0.46153846153846156,1.0,0.6392116605762771,improved
89_9,89,9,How does the relationship influence biodiversity?,How do predators and prey influence biodiversity?,How does the relationship between predator and prey influence biodiversity?,How does the relationship between predators and prey influence biodiversity? predator-prey dynamics ecological balance,0.1836734693877551,0.3333333333333333,0.1274036886332344,improved,0.3469387755102041,0.3333333333333333,0.15921408273271026,improved
89_10,89,10,What are examples of these predators?,What are examples of apex predators?,What are examples of predators that influence biodiversity?,examples of predators and prey biodiversity relationship predator-prey dynamics,-0.0823529411764706,0.0,0.0,tied,-0.023529411764705896,1.0,0.28371255449703187,improved
89_11,89,11,Why would humans be considered one?,Why would humans be considered apex predators?,Why would humans be considered predators?,Why would humans be considered predators? human apex predator,0.21951219512195122,0.2,0.043259611465463796,improved,0.4146341463414634,0.25,0.09632035865384155,improved
90_1,90,1,Which is the biggest commercial plane?,Which is the biggest commercial plane?,Which is the biggest commercial plane?,Which is the biggest commercial plane? largest aircraft airliner,0.0,0.0,0.0,tied,0.0,0.6666666666666667,0.11004588314904008,improved
90_2,90,2,What are its operational costs?,What are the operational costs of the Airbus A380?,What are the operational costs of the biggest commercial plane?,operational costs of the biggest commercial plane operating expenses,0.0,0.0,0.0,tied,0.0,0.0,0.0,tied
90_3,90,3,How does its fuel consumption compare to its competitors?,How does the Airbus A380 fuel consumption compare to its competitors?,How does the fuel consumption of the biggest commercial plane compare to its competitors?,How does the biggest commercial plane's fuel consumption compare to its competitors? fuel efficiency gas mileage,0.0,0.0,0.0,tied,0.0,0.0,0.0,tied
90_4,90,4,How do the freighter versions compare to each other?,How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?,How do the freighter versions of the biggest commercial plane compare to each other?,How do the freighter versions of the biggest commercial planes compare to each other? cargo aircraft transport planes,0.0,-0.3333333333333333,-0.09515663188532464,degraded,-0.1111111111111111,-0.3333333333333333,-0.09515663188532464,degraded
90_5,90,5,Why did the A380 stop being produced?,Why did the Airbus A380 stop being produced?,Why did the Airbus A380 stop being produced?,Why did the Airbus A380 stop being produced? production end termination,0.0,0.0,0.03208099111708715,improved,0.14285714285714285,-0.2,-0.0641619822341743,degraded
90_6,90,6,What was Boeing's response to compete with it?,What was Boeing's response to compete with the Airbus A380?,What was Boeing's response to compete with the Airbus A380?,What was Boeing's response to compete with the Airbus A380? Boeing 747-8,0.08333333333333331,0.0,0.11287842398388315,improved,0.16666666666666669,0.0,0.2793947206853239,improved
90_7,90,7,What is the newest version and what is better about it?,What is the newest version of the Boeing 777 and what is better about it?,What is the newest version of the Boeing plane developed to compete with the Airbus A380 and what are its improvements?,What is the newest version of the Boeing response to the A380 and what is better about it? Boeing 777X 777-9,0.11538461538461539,0.25,0.034755005731077454,improved,0.3076923076923077,1.0,0.29068128574797925,improved
90_8,90,8,What are the differences between the variants?,What are the differences between the Boeing 777X-8 and 777X-9?,What are the differences between the variants of the newest Boeing plane designed to compete with the Airbus A380?,What are the differences between the variants of the newest Boeing plane? 777X 777-8 777-9,0.0,0.0,0.0,tied,0.5555555555555556,1.0,0.33017252620787035,improved
91_1,91,1,What is the purpose of GDPR?,What is the purpose of the General Data Protection Regulation (GDPR)?,What is the purpose of GDPR?,What is the purpose of GDPR? General Data Protection Regulation,0.0,0.0,0.0,tied,0.09090909090909094,0.0,0.04331268027380508,improved
91_2,91,2,What is different compared to previous legislation?,What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?,What is different about GDPR compared to previous legislation?,What is different about GDPR compared to previous legislation? General Data Protection Regulation data privacy laws,0.4375,0.14285714285714285,0.11538029521800254,improved,0.5,1.0,0.36632334652564597,improved
91_3,91,3,What are the privacy implications of those technologies?,What are the privacy implications of social networks and cloud computing?,What are the privacy implications of the technologies related to GDPR and previous legislation?,What are the privacy implications of GDPR technologies? General Data Protection Regulation,0.0,0.0,0.0,tied,-0.034482758620689655,0.0,0.0,tied
91_4,91,4,"Oh, IP addresses are considered PII? What is the full range of personal data?","Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?",What is the full range of personal data and are IP addresses considered PII under GDPR?,What is the full range of personal data under GDPR? PII personally identifiable information,0.5,0.0,0.0,tied,0.5,-0.5,-0.16226515508248435,degraded
91_5,91,5,How do big companies adapt to GDPR?,How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?,How do big companies adapt to GDPR?,How do big companies adapt to GDPR? General Data Protection Regulation compliance corporate adaptation,0.0,0.0,0.0,tied,0.0,0.0,0.0,tied
91_6,91,6,OK. Tell me about the privacy issues in social networks.,OK. Tell me about the privacy issues in social networks.,privacy issues in social networks,privacy issues in social networks social media privacy concerns,0.11111111111111116,0.0,-0.060198093680841,degraded,0.0888888888888889,0.0,-0.011111139066994569,degraded
91_7,91,7,What do they get in return for their privacy?,What do users of social networks get in return for by giving up their privacy?,What do social network users get in return for their privacy?,What do social networks get in return for user privacy? social media platforms data monetization,0.44,0.3333333333333333,0.15383380854510706,improved,0.24,1.0,0.21468740421786384,improved
91_8,91,8,What are the symptoms of that addiction?,What are the symptoms of social network addiction?,What are the symptoms of social network addiction?,What are the symptoms of social network addiction? social media addiction,0.3529411764705882,1.0,0.4988436006030806,improved,0.29411764705882354,1.0,0.4384547525304418,improved
92_1,92,1,Do shoulder braces help recover from an injury?,Do shoulder braces help recover from an injury?,Do shoulder braces help recover from an injury?,Do shoulder braces help recover from an injury? shoulder supports orthosis rehabilitation,0.0,0.0,0.0,tied,0.1111111111111111,0.125,0.09322787415978862,improved
92_2,92,2,Tell me more about some exercises that could help.,Tell me more about some shoulder exercises that could help recovery from an injury.,exercises to help recover from a shoulder injury,exercises for shoulder injury recovery shoulder rehabilitation physical therapy,0.3684210526315789,0.25,0.09157328212690752,improved,0.2631578947368421,1.0,0.3087931063885661,improved
92_3,92,3,What are some others?,What are other exercises besides Pendulum circles for shoulder injuries?,What are some other exercises that could help recover from a shoulder injury?,exercises for shoulder injury recovery rehabilitation physical therapy,0.175,0.16666666666666666,0.1575487396689275,improved,0.025,0.16666666666666666,0.07303978395821105,improved
92_4,92,4,How do I know if it's serious?,How do I know if my shoulder pain is serious?,How do I know if a shoulder injury is serious?,How do I know if a shoulder injury is serious? shoulder damage severe symptoms,0.14925373134328357,0.3333333333333333,0.1396181455537491,improved,0.2537313432835821,1.0,0.6537197885995175,improved
92_5,92,5,When should you consider surgery?,When should you consider shoulder surgery?,When should you consider surgery for a shoulder injury?,When should you consider surgery for a shoulder injury? shoulder operation surgical intervention,0.3888888888888889,0.5,0.2511497943427759,improved,0.3888888888888889,0.2,0.21049221270776328,improved
92_6,92,6,That seems extreme. What are other ways to treat the pain?,That seems extreme. What are other ways to treat shoulder pain?,What are other ways to treat shoulder injury pain besides surgery?,other ways to treat shoulder injury pain pain management analgesics therapy,0.12857142857142856,0.3333333333333333,0.18203200435305023,improved,0.08571428571428572,1.0,0.22009176629808014,improved
92_7,92,7,How do I stop it from hurting at my desk?,How do I stop my shoulder from hurting at my desk?,How to treat shoulder injury pain while working at a desk?,How to stop shoulder injury pain while working at a desk shoulder pain ergonomics,0.15789473684210525,0.0,0.0,tied,0.0,0.0,0.0,tied
93_1,93,1,Tell me about purchasing a Burger King franchise.,Tell me about purchasing a Burger King franchise.,how to purchase a Burger King franchise,purchasing a Burger King franchise buy open BK ownership,0.0,0.5,0.17531207979775248,improved,-0.16666666666666669,0.0,0.0,tied
93_2,93,2,"No, not information about its acquisition. I want to know how to open a franchise.","No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise.",how to open a Burger King franchise,how to open a Burger King franchise requirements process,0.5384615384615384,1.0,0.37683989582469263,improved,0.6153846153846154,0.5,0.17531207979775248,improved
93_3,93,3,Is there any financial support for the fee?,Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?,Is there any financial support for the Burger King franchise fee?,Is there any financial support for the Burger King franchise fee? funding assistance loans,1.0,0.5,0.24630238874073,improved,1.0,0.5,0.24630238874073,improved
93_4,93,4,How much does an owner typically make?,How much does a Burger King franchise owner typically make?,What is the typical income of a Burger King franchise owner?,How much does a Burger King franchise owner typically make? earnings profit income,0.1111111111111111,0.0,0.0,tied,0.6666666666666666,0.3333333333333333,0.30247629691873634,improved
